TIMESTAMP,RECORD,BattV_Min,AirTC_Avg,RH,DT_Avg,Q_Avg,TCDT_Avg,DBTCDT_Avg,BP_mbar_Avg,CM3Up_Avg,CM3Dn_Avg,CG3Up_Avg,CG3Dn_Avg,Albedo_Avg,NetRs_Avg,NetRl_Avg,NetTot_Avg,WS_ms_Avg,WS_ms_Max,WindDir,WS_ms_S_WVT,WindDir_D1_WVT,WindDir_SD1_WVT,UpTot_Avg,DnTot_Avg,CG3UpCo_Avg,CG3DnCo_Avg,UFN_density,SWE
2024-11-11 00:00:00,7052.5,12.6504166666667,-5.251875,87.6929166666667,2.30291666666667,211.958333333333,2.28066666666667,0.309125,710.6779625,2.26441666666667,2.857,-2.67916666666667,-3.48916666666667,348.160913043478,-0.592625,0.810333333333333,0.217708333333333,0,8.33333333333333e-05,216.175,0,0.005,0,-0.414875,-0.632666666666667,NaN,NaN,229,7.0789625
2024-11-12 00:00:00,7076.5,12.6904166666667,-5.03375,87.6208333333333,2.28366666666667,237.633333333333,2.26245833333333,0.331604166666667,702.302108333333,5.04266666666667,4.82345833333333,-2.63608333333333,-4.685125,0.614444444444444,0.218333333333333,2.049125,2.26758333333333,0.00025,0.00920833333333333,163.309416666667,0.00025,12.8891666666667,0.758041666666667,2.40620833333333,0.138625,NaN,NaN,228,7.560575
2024-11-13 00:00:00,7100.5,12.6179166666667,-7.01029166666667,88.5541666666667,2.10595833333333,233.925,2.07883333333333,0.477916666666667,708.622416666667,1.3075,4.74729166666667,-0.095875,-5.60275,Inf,-3.43966666666667,5.50666666666667,2.06666666666667,0.000375,0.0159166666666667,136.21,0.000375,58.3704166666667,3.08291666666667,1.21145833333333,-0.855375,NaN,NaN,199,9.51054166666667
2024-11-14 00:00:00,4451.5,12.6316666666667,-4.666625,79.1129166666667,2.18729166666667,194.079166666667,2.16845833333333,0.421541666666667,684.714679166667,0.935041666666666,3.97208333333333,-10.5447083333333,-7.84916666666667,0.653272727272727,-3.03658333333333,-2.69575,-5.73283333333333,0,0,191.391666666667,0,0,0,-9.60983333333333,-3.87754166666667,NaN,NaN,175,7.37697916666667
2024-11-15 00:00:00,20.5,12.695,-3.19545833333333,71.7320833333333,2.219625,187.220833333333,2.2065,0.3835,701.495983333333,10.0948333333333,6.54591666666667,-27.2470833333333,-7.09583333333333,0.0426428571428571,3.5475,-20.1504166666667,-16.6035,0.000458333333333333,0.021625,195.230833333333,0.000458333333333333,41.6125,1.48583333333333,-17.1527083333333,-0.549,NaN,NaN,189,7.24815
2024-11-16 00:00:00,44.5,12.6925,-6.63095833333333,76.13875,2.25666666666667,196.570833333333,2.22920833333333,0.360708333333333,699.482641666666,10.5269583333333,8.01370833333333,-16.1277916666667,-5.83191666666667,Inf,2.51295833333333,-10.2959583333333,-7.78216666666667,0.000208333333333333,0.00891666666666667,147.984916666667,0.000208333333333333,28.9602083333333,1.79329166666667,-5.59966666666667,2.18275,NaN,NaN,223,8.04379583333334
2024-11-17 00:00:00,68.5,12.6058333333333,-8.06145833333333,72.8195833333333,2.27683333333333,218.958333333333,2.24291666666667,0.343,702.662216666667,2.382625,3.76091666666667,-0.810916666666667,-6.523,Inf,-1.37841666666667,5.712125,4.333125,0.00379166666666667,0.0644583333333333,127.7275,0.00379166666666667,39.9516666666667,7.890125,1.57191666666667,-2.76170833333333,NaN,NaN,222,7.6146
2024-11-18 00:00:00,92.5,12.75125,-6.35595833333333,76.0245833333333,2.25729166666667,223.925,2.23104166666667,0.348875,697.255466666667,17.1975,9.45383333333333,-1.190375,-4.407625,0.511230769230769,7.746125,3.217125,10.9634166666667,0.00541666666666667,0.100041666666667,138.21925,0.00541666666666667,110.980416666667,7.71333333333333,16.0104166666667,5.04679166666667,NaN,NaN,230,8.024125
2024-11-19 00:00:00,116.5,12.5929166666667,-13.6183333333333,84.2845833333333,2.25583333333333,234.566666666667,2.19883333333333,0.382770833333333,701.416354166667,7.15216666666667,8.78166666666667,-0.0636666666666666,-1.66675,0.60675,-1.62920833333333,1.60304166666667,-0.0262083333333334,0.00141666666666667,0.0631666666666667,123.398333333333,0.00141666666666667,67.9458333333333,4.268875,7.08854166666667,7.11470833333333,-0.0435714285714286,-1.86585714285714,260,9.95204166666666
2024-11-20 00:00:00,140.5,12.57375,-9.56883333333333,68.8233333333333,2.24891666666667,201.158333333333,2.209125,0.380833333333333,710.320933333333,0.18975,3.751375,-0.440333333333333,-7.43141666666667,0.981727272727273,-3.56145833333333,6.991,3.42945833333333,0.00179166666666667,0.0504166666666667,210.535833333333,0.00179166666666667,121.747083333333,8.2375,-0.2505,-3.68020833333333,-0.2383,-6.1374,259,9.86358333333333
2024-11-21 00:00:00,164.5,12.5970833333333,-2.39429166666667,51.9741666666667,2.237375,189.316666666667,2.22741666666667,0.362583333333333,713.6388875,2.04483333333333,4.77104166666667,-1.66116666666667,-9.47658333333333,Inf,-2.72558333333333,7.81454166666667,5.08966666666667,0.000458333333333333,0.0196666666666667,166.704583333333,0.000458333333333333,58.5958333333333,1.52104166666667,0.38375,-4.70533333333333,NaN,NaN,230,8.33941666666667
2024-11-22 00:00:00,188.5,12.6716666666667,-1.829,52.9466666666667,2.24704166666667,176.783333333333,2.23933333333333,0.350666666666667,712.507204166667,11.3562083333333,6.80625,-25.774625,-9.48758333333334,Inf,4.54983333333333,-16.286125,-11.738125,0,8.33333333333333e-05,198.254166666667,0,13.3958333333333,0,-14.418125,-2.680875,NaN,NaN,212,7.43413333333333
2024-11-23 00:00:00,212.5,12.7570833333333,1.542125,37.0516666666667,2.24704166666667,180.704166666667,2.253125,0.336875,705.216004166667,16.3145,8.52191666666667,-30.2425,-13.78,0.555666666666667,7.79129166666667,-16.4623333333333,-8.66975,0.00525,0.15675,129.211458333333,0.00525,133.999583333333,7.10141666666667,-13.9293333333333,-5.25783333333333,NaN,NaN,250,8.421875
2024-11-24 00:00:00,236.5,12.6883333333333,-3.1195,72.345,2.24695833333333,201.679166666667,2.23416666666667,0.349833333333333,702.276325,10.9536666666667,6.1235,-4.61041666666667,-4.33225,-Inf,4.83025,-0.277833333333333,4.55291666666667,0.00554166666666667,0.142791666666667,96.0305416666667,0.00554166666666667,67.7487083333333,4.03854166666667,6.34325,1.79041666666667,0.0773333333333333,-2.44266666666667,266,9.30556666666666
2024-11-25 00:00:00,260.5,12.5633333333333,-11.2645833333333,82.2745833333333,2.23866666666667,226.408333333333,2.19179166666667,0.3851875,708.912258333333,1.526375,3.384875,-0.0867916666666666,-7.20379166666667,Inf,-1.85820833333333,7.117375,5.259375,0,0,156.767916666667,0,0,0,1.43983333333333,-3.81958333333333,-0.00925,-7.12654166666667,236,9.090425
