TIMESTAMP,RECORD,BattV_Min,AirTC_Avg,RH,DT_Avg,Q_Avg,TCDT_Avg,DBTCDT_Avg,BP_mbar_Avg,CM3Up_Avg,CM3Dn_Avg,CG3Up_Avg,CG3Dn_Avg,Albedo_Avg,NetRs_Avg,NetRl_Avg,NetTot_Avg,WS_ms_Avg,WS_ms_Max,WindDir,WS_ms_S_WVT,WindDir_D1_WVT,WindDir_SD1_WVT,UpTot_Avg,DnTot_Avg,CG3UpCo_Avg,CG3DnCo_Avg,BFN_density,SWE
2023-05-20 00:00:00,2255.5,13.5858333333333,6.04991666666667,63.7858333333333,1.71391666666667,246.370833333333,1.73258333333333,0.815166666666667,437.9078125,179.615375,89.3260416666667,-56.7044166666666,-26.4430416666667,Inf,90.2947083333333,-30.2654583333333,60.02125,0.809125,1.767375,223.87125,0.809125,235.704166666667,48.6883333333333,122.904166666667,62.8829166666667,-57.1183571428571,-30.4278571428571,448,36.5194666666667
2023-05-21 00:00:00,2279.5,13.5620833333333,7.70729166666667,47.3558333333333,1.761,232.1375,1.785625,0.763291666666667,425.107641666667,247.113583333333,115.814416666667,-84.8329166666667,-36.5258333333333,Inf,131.304583333333,-48.3145833333333,82.9850416666667,0.938958333333333,1.80129166666667,171.155833333333,0.938958333333333,139.29,36.2000833333333,162.272083333333,79.2898333333333,-83.9604347826087,-36.6065217391305,443,33.8138208333333
2023-05-22 00:00:00,2303.5,13.5425,8.49325,46.2554166666667,1.8195,233.320833333333,1.8475,0.701083333333334,403.346366666667,211.970916666667,95.4194583333333,-79.9870833333334,-37.7416666666667,-0.131315789473684,116.555166666667,-42.241,74.3108333333333,0.873416666666667,1.75145833333333,189.22875,0.873416666666667,174.000833333333,49.1019166666667,131.978333333333,57.6782916666667,-78.3331818181818,-37.9972727272727,459,32.179725
2023-05-23 00:00:00,2327.5,13.5591666666667,8.00866666666667,56.6408333333333,1.87095833333333,208.8125,1.89795833333333,0.650333333333334,399.906258333333,169.199666666667,74.95925,-66.65325,-32.7945833333333,0.3266,94.2382916666667,-33.8567083333333,60.3929166666667,0.701125,1.46125,169.430208333333,0.701125,182.517916666667,50.4229166666667,102.54375,42.1587083333333,-71.5012727272727,-33.1654545454545,455,29.5901666666667
2023-05-24 00:00:00,2351.5,13.5458333333333,6.60041666666667,68.0991666666667,1.920125,214.083333333333,1.94304166666667,0.604958333333333,403.067933333333,169.493583333333,76.0494166666667,-40.4076666666667,-27.700875,Inf,93.4387916666667,-12.7077083333333,80.7275833333333,0.777541666666667,1.76379166666667,216.6875,0.777541666666667,230.86,57.5704166666667,129.081375,48.3496666666667,-60.8049375,-31.388125,463,28.0095708333333
2023-05-25 00:00:00,2375.5,13.5195833333333,8.30316666666667,55.8670833333333,1.97516666666667,207.145833333333,2.00491666666667,0.543166666666667,436.920195833333,222.508083333333,92.4943333333333,-39.92125,-34.6435,Inf,130.040541666667,-5.27883333333333,124.758916666667,0.821833333333333,1.77304166666667,211.245,0.821833333333333,210.248333333333,50.0929166666667,182.60075,57.8467083333333,-51.42975,-36.44,458,24.8770333333333
2023-05-26 00:00:00,2399.5,13.5395833333333,8.23595833333333,49.6066666666667,2.03475,207.7125,2.065,0.483458333333333,431.3845875,192.545291666667,79.7345,-44.8482083333333,-33.19625,Inf,112.789,-11.6525,101.138666666667,0.80825,1.75954166666667,186.39875,0.80825,187.851666666667,53.19375,147.676125,46.5413333333333,-46.9568571428571,-32.415,457,22.0940458333333
2023-05-27 00:00:00,2423.5,13.5475,8.170875,45.3104166666667,2.09654166666667,213.945833333333,2.12758333333333,0.421083333333333,422.64975,249.623708333333,96.27125,-75.4870833333333,-35.1870833333333,Inf,153.347,-40.3021666666667,113.04375,0.947583333333333,2.13433333333333,248.361666666667,0.947583333333333,228.629166666667,56.68,174.139583333333,61.0844583333333,-73.5013636363636,-33.1359090909091,453,19.075075
2023-05-28 00:00:00,2447.5,13.55375,7.04579166666667,47.9083333333333,2.16429166666667,218.741666666667,2.19208333333333,0.356375,388.419504166667,238.210958333333,88.1207083333334,-78.2004166666666,-29.6025,-0.213,150.08475,-48.6008333333333,101.485,1.06145833333333,2.17220833333333,234.279166666667,1.06145833333333,256.191666666667,44.0820833333333,160.000416666667,58.51875,-76.0581818181818,-29.3772727272727,456,16.2507
2023-05-29 00:00:00,2471.5,13.5116666666667,8.93045833333333,40.6591666666667,2.22875,231.733333333333,2.26491666666667,0.284041666666667,382.314775,235.264458333333,82.2036666666667,-81.7125,-34.41625,0.497071428571429,153.044916666667,-47.2982916666667,105.757666666667,1.02291666666667,2.163875,200.419583333333,1.02291666666667,250.841666666667,44.55875,153.520416666667,47.8002916666667,-84.068,-27.1153333333333,455,12.9238958333333
2023-05-30 00:00:00,2495.5,13.5066666666667,9.45675,32.9641666666667,2.29441666666667,230.495833333333,2.33366666666667,0.214666666666667,365.9619875,197.486708333333,59.7978333333333,-88.7541666666667,-33.5329166666667,0.0968235294117647,137.706875,-55.2225,82.4710833333333,0.838916666666667,2.03666666666667,206.382041666667,0.838916666666667,245.1375,49.4058333333333,108.741666666667,26.2637916666667,-86.3783333333333,-22.8858333333333,461,9.89613333333334
2023-05-31 00:00:00,2519.5,13.51875,8.70279166666667,42.89625,2.36866666666667,228.375,2.405875,0.141791666666667,358.733820833333,219.364416666667,55.5425416666667,-71.8679166666666,-25.6966666666667,Inf,163.841916666667,-46.1683333333333,117.673333333333,0.854166666666667,1.85229166666667,181.691791666667,0.854166666666667,195.970833333333,54.5133333333333,147.532083333333,29.8479583333333,-67.173125,-19.9,453,6.4231625
